text,department
There's a pothole on the road,Public Works Department
Streetlight not working near park,Electrical Department
Garbage is dumped daily behind the market,Sanitation Department
Sewage is overflowing and stinks badly,Public Health Department
Water pipe is leaking on the street,Water Supply Department
Noise from illegal construction every night,Environment Department
Traffic signal is malfunctioning,Traffic Department
Drain is clogged and overflowing,Sewerage Department
Trash bins are not being emptied,Sanitation Department
Power lines are hanging low,Electrical Department